,Rank,Title,Artist
0,1,1989 (Taylor's Version),Taylor Swift
1,2,One Thing At A Time,Morgan Wallen
2,3,For All The Dogs,Drake
3,4,Pink Friday 2,Nicki Minaj
4,5,Midnights,Taylor Swift
5,6,Lover,Taylor Swift
6,7,SOS,SZA
7,8,Stick Season,Noah Kahan
8,9,Zach Bryan,Zach Bryan
9,10,Folklore,Taylor Swift
10,11,Guts,Olivia Rodrigo
11,12,Dangerous: The Double Album,Morgan Wallen
12,13,Utopia,Travis Scott
13,14,Think Later,Tate McRae
14,15,Nadie Sabe Lo Que Va A Pasar Manana,Bad Bunny
15,16,Evermore,Taylor Swift
16,17,Speak Now (Taylor's Version),Taylor Swift
17,18,Genesis,Peso Pluma
18,19,reputation,Taylor Swift
19,20,Nostalgia,Rod Wave
20,21,American Heartbreak,Zach Bryan
21,22,Red (Taylor's Version),Taylor Swift
22,23,Pa Las Baby's y Belikeada,Fuerza Regida
23,24,Barbie: The Album,Soundtrack
24,25,Scarlet,Doja Cat
25,26,The Diamond Collection,Post Malone
26,27,Sour,Olivia Rodrigo
27,28,Golden,Jung Kook
28,29,Un Verano Sin Ti,Bad Bunny
29,30,Take Care,Drake
30,31,Heroes & Villains,Metro Boomin
31,32,Ctrl,SZA
32,33,ROCK-STAR,Stray Kids
33,34,Rumours,Fleetwood Mac
34,35,Religiously. The Album.,Bailey Zimmerman
35,36,Diamonds,Elton John
36,37,Curtain Call: The Hits,Eminem
37,38,Gettin' Old,Luke Combs
38,39,Fearless (Taylor's Version),Taylor Swift
39,40,Higher,Chris Stapleton
40,41,My Turn,Lil Baby
41,42,Starboy,The Weeknd
42,43,Trolls: Band Together,Soundtrack
43,44,Her Loss,Drake & 21 Savage
44,45,Greatest Hits,Queen
45,46,Certified Lover Boy,Drake
46,47,"good kid, m.A.A.d city",Kendrick Lamar
47,48,This One's For You,Luke Combs
48,49,Whitsitt Chapel,Jelly Roll
49,50,Scorpion,Drake
50,51,Chronicle: The 20 Greatest Hits,Creedence Clearwater Revival
51,52,Born To Die,Lana Del Rey
52,53,Manana Sera Bonito,Karol G
53,54,DAMN.,Kendrick Lamar
54,55,Graduation,Kanye West
55,56,Goodbye & Good Riddance,Juice WRLD
56,57,El Comienzo,Grupo Frontera
57,58,If I Know Me,Morgan Wallen
58,59,1989,Taylor Swift
59,60,After Hours,The Weeknd
60,61,Traveller,Chris Stapleton
61,62,Blonde,Frank Ocean
62,63,Views,Drake
63,64,2014 Forest Hills Drive,J. Cole
64,65,The Mockingbird & The Crow,HARDY
65,66,ASTROWORLD,Travis Scott
66,67,I've Tried Everything But Therapy (Part I),Teddy Swims
67,68,Renaissance,Beyonce
68,69,Harry's House,Harry Styles
69,70,A Gift & A Curse,Gunna
70,71,Hozier,Hozier
71,72,I Never Liked You,Future
72,73,20 Number Ones,Thomas Rhett
73,74,Hood Hottest Princess,Sexyy Red
74,75,IGOR,"Tyler, The Creator"
75,76,Bell Bottom Country,Lainey Wilson
76,77,Manana Sera Bonito (Bichota Season),Karol G
77,78,ANTI,Rihanna
78,79,Emails I Can't Send,Sabrina Carpenter
79,80,Nevermind,Nirvana
80,81,What You See Is What You Get,Luke Combs
81,82,AM,Arctic Monkeys
82,83,Beauty Behind The Madness,The Weeknd
83,84,Legend: The Best Of Bob Marley And The Wailers,Bob Marley And The Wailers
84,85,T R A P S O U L,Bryson Tiller
85,86,Endless Summer Vacation,Miley Cyrus
86,87,Wasteland,Brent Faiyaz
87,88,Starting Over,Chris Stapleton
88,89,Journey's Greatest Hits,Journey
89,90,Doo-Wops & Hooligans,Bruno Mars
90,91,The Fame,Lady Gaga
91,92,Greatest Hits,Tom Petty And The Heartbreakers
92,93,For Her,Hunxho
93,94,Almost Healed,Lil Durk
94,95,Planet Her,Doja Cat
95,96,The Beatles 1962-1966,The Beatles
96,97,The World EP.Fin : Will,ATEEZ
97,98,11:11,Chris Brown
98,99,The Best Of Nickelback: Volume 1,Nickelback
99,100,Channel Orange,Frank Ocean
