,Year,Title,Artist
0,2006,Bad Day,Daniel Powter
1,2007,Irreplaceable,Beyonce
2,2008,Low,Flo Rida Featuring T-Pain
3,2009,Boom Boom Pow,The Black Eyed Peas
4,2010,TiK ToK,Ke$ha
5,2011,Rolling In The Deep,Adele
6,2012,Somebody That I Used To Know,Gotye Featuring Kimbra
7,2013,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz
8,2014,Happy,Pharrell Williams
9,2015,Uptown Funk!,Mark Ronson Featuring Bruno Mars
10,2016,Love Yourself,Justin Bieber
11,2017,Shape Of You,Ed Sheeran
12,2018,God's Plan,Drake
13,2019,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus
14,2020,Blinding Lights,The Weeknd
15,2021,Levitating,Dua Lipa
16,2022,Heat Waves,Glass Animals
17,2023,Last Night,Morgan Wallen
